corredor,viajes,toneladas,ton_prom,cv_mensual_%,tendencia_mes,crecimiento_%
BUENAVENTURA -> CALDAS,44,326.869,7.428840909090909,157.0,-0.3,-220.9
RIONEGRO -> NECOCLI,44,513.28,11.665454545454544,77.1,0.29,213.5
CALDAS -> SOLEDAD,43,224.22,5.214418604651163,67.6,0.15,113.0
GIRARDOTA -> QUIBDO,43,1013.263,23.56425581395349,52.0,-0.13,-98.0
BOGOTA D.C. -> SOACHA,43,301.4,7.009302325581395,103.7,0.01,7.5
CALDAS -> GIRARDOTA,43,584.603,13.595418604651162,95.4,-0.28,-211.0
CALDAS -> ENVIGADO,43,140.313,3.2630930232558137,52.0,0.03,22.6
SOACHA -> FACATATIVA,43,385.776,8.971534883720931,61.2,-0.1,-75.3
GIRARDOTA -> APARTADO,43,220.007,5.116441860465116,72.0,-0.18,-135.6
BUCARAMANGA -> BARRANCABERMEJA,43,440.064,10.234046511627907,102.7,0.32,241.1
SOACHA -> YUMBO,43,1251.823,29.112162790697678,123.6,-0.19,-143.2
FUNZA -> ZIPAQUIRA,42,40.8,0.9714285714285713,143.3,0.48,370.3
ENVIGADO -> SABANETA,42,212.253,5.053642857142857,146.3,-0.45,-347.1
BOGOTA D.C. -> COTA,42,482.0,11.476190476190476,109.0,0.32,246.9
SOPO -> SAN MIGUEL,42,1191.718,28.3742380952381,161.0,-0.06,-46.3
PUERTO TEJADA -> DOSQUEBRADAS,42,422.07,10.049285714285714,130.7,0.25,192.9
CARTAGENA -> IBAGUE,42,988.602,23.538142857142855,70.5,0.02,15.4
BUENAVENTURA -> YUMBO,42,980.697,23.34992857142857,198.9,0.32,246.9
ZIPAQUIRA -> FUNZA,41,40.5,0.9878048780487805,140.3,0.46,363.5
MOSQUERA -> FUNZA,41,38.8,0.9463414634146341,159.2,0.42,331.9
SONSON -> CARTAGO,41,1352.5,32.98780487804878,78.0,-0.01,-7.9
ENVIGADO -> CARTAGENA,41,314.23900000000003,7.664365853658538,80.8,-0.1,-79.0
SOPO -> LA VEGA,41,317.822,7.751756097560976,91.4,0.2,158.0
SABANETA -> CHINCHINA,41,1095.996,26.731609756097562,63.5,-0.01,-7.9
MADRID -> MONTERIA,41,821.938,20.047268292682926,83.6,0.21,166.0
SABANETA -> GIRARDOTA,40,251.201,6.280025,76.5,0.01,8.1
SOPO -> GALAPA,40,1199.712,29.9928,71.7,-0.07,-56.7
YUMBO -> GUADALAJARA DE BUGA,40,318.265,7.956625,66.5,0.03,24.3
SESQUILE -> BOGOTA D.C.,39,659.2,16.902564102564103,124.9,0.26,216.0
SABANETA -> BUENAVENTURA,39,428.908,10.997641025641027,53.1,0.04,33.2
SABANAGRANDE -> RIOHACHA,39,377.656,9.68348717948718,65.7,-0.03,-24.9
MALAMBO -> BARRANQUILLA,39,293.583,7.527769230769231,131.7,0.39,324.0
MALAMBO -> BOGOTA D.C.,39,1287.84,33.02153846153846,131.7,0.28,232.6
YUMBO -> SANTANDER DE QUILICHAO,39,334.348,8.573025641025641,73.0,-0.13,-108.0
CALI -> BOGOTA D.C.,38,548.5,14.43421052631579,199.6,-0.47,-400.7
MADRID -> SAN FRANCISCO,38,642.5,16.907894736842106,35.9,-0.01,-8.5
SONSON -> LA ESTRELLA,37,1258.0,34.0,117.4,0.3,262.7
MADRID -> FUSAGASUGA,37,435.455,11.769054054054054,63.5,0.07,61.3
SOPO -> FLORIDABLANCA,37,447.059,12.082675675675677,126.5,0.1,87.6
